Unidade da Federação,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Rondônia,42.76,50.8,76.05,83.33,93.26,82.31,79.59,83.7,78.18,72.3,84.61,80.75,84.44,86.21,82.39,83.87,79.26,92.75,85.82,76.72,98.18,111.27,63.77,85.05,82.92,82.12,74.22,56.96
Acre,20.53,46.61,36.59,67.56,66.38,85.61,66.79,76.77,81.66,77.54,83.1,72.09,70.66,80.54,75.06,79.18,76.32,84.74,74.35,58.87,59.29,75.54,46.91,63.56,69.84,74.83,56.49,38.9
Amazonas,20.15,35.82,49.88,72.01,70.62,72.19,70.91,70.68,70.98,64.77,74.57,73.67,74.81,78.84,76.4,78.63,73.3,80.09,79.18,67.06,77.14,94.95,48.27,71.14,75.22,79.8,65.04,52.57
Roraima,64.06,88.84,89.18,80.26,97.45,93.76,83.94,72.67,78.33,72.99,83.23,78.26,74.22,76.9,71.13,80.21,75.19,84.42,73.13,60.7,82.3,105.27,57.41,89.16,83.5,77.48,64.33,37.56
Pará,32.44,40.11,51.26,67.09,67.46,82.95,77.23,83.43,82.66,80.5,100.63,89.24,86.99,87.91,84.7,84.04,81.55,84.11,77.87,67.91,71.71,67.51,41.43,57.38,60.48,65.14,54.42,39.91
Amapá,0.0,34.68,44.75,52.06,73.77,83.48,70.61,101.5,75.61,76.13,87.86,81.02,76.09,76.76,74.15,84.31,75.31,77.88,73.77,67.66,76.11,88.75,56.62,57.89,63.76,69.27,42.29,32.51
Tocantins,0.0,0.0,65.44,56.24,86.73,87.82,80.63,87.42,80.88,75.39,82.22,78.77,78.68,81.82,79.53,81.54,75.12,87.78,76.34,72.78,85.09,92.37,60.94,77.95,81.12,82.12,77.36,62.99
Maranhão,27.43,35.69,41.05,60.33,68.09,81.1,74.81,79.09,76.93,75.58,85.53,83.5,82.76,87.34,83.65,84.62,87.04,87.15,77.67,73.54,83.27,94.4,43.38,64.39,68.11,63.23,50.34,40.23
Piauí,62.22,48.16,46.45,57.65,64.59,81.53,78.74,81.18,79.67,74.41,86.09,76.64,78.18,80.35,76.69,78.11,75.44,86.04,77.57,71.99,76.06,80.68,46.94,68.44,72.86,69.58,63.85,55.2
Ceará,49.2,50.06,60.28,74.0,64.09,88.63,78.82,83.18,78.97,73.21,83.85,78.93,76.59,78.59,74.75,76.1,74.4,83.44,74.76,73.09,96.57,107.71,56.44,84.51,88.44,75.18,70.8,46.48
Rio Grande do Norte,41.34,49.23,56.57,61.55,58.99,78.8,70.21,73.12,73.2,71.76,80.87,72.55,73.24,74.53,70.54,72.82,71.04,81.3,74.96,66.86,82.44,89.17,42.23,55.95,70.92,68.19,61.59,48.9
Paraíba,0.0,22.82,45.23,63.28,61.39,81.68,72.88,80.28,76.52,71.43,81.74,76.3,76.76,79.48,74.71,76.88,77.15,82.82,70.88,71.43,83.53,86.34,50.1,70.08,74.48,76.94,60.48,43.45
