Unidade da Federação,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Rondônia,-,1,-,1,-,-,-,1,-,-
Amazonas,-,-,1,10,4,6,4,2,2,5
Roraima,-,-,-,-,1,-,-,-,-,-
Pará,13,3,5,5,9,6,5,5,5,1
Amapá,1,-,-,-,-,-,-,-,-,-
Tocantins,1,-,-,-,-,-,1,1,-,-
Maranhão,2,2,2,1,2,2,4,-,-,-
Piauí,-,-,2,-,1,1,-,-,-,-
Ceará,8,14,14,8,12,4,3,4,5,6
Rio Grande do Norte,-,1,-,1,1,-,-,-,-,-
Paraíba,5,4,5,3,5,3,1,1,3,1
Pernambuco,37,28,22,24,26,12,16,16,16,5
Alagoas,8,12,10,7,1,2,1,1,4,1
Sergipe,1,-,-,-,1,-,1,-,1,-
Bahia,25,26,14,14,16,9,2,4,12,6
Minas Gerais,55,45,19,17,20,17,14,13,18,5
Espírito Santo,3,5,1,-,2,2,2,3,1,-
Rio de Janeiro,52,45,33,37,31,23,33,29,16,14
São Paulo,67,53,71,61,43,39,54,50,48,47
Paraná,13,22,8,12,11,12,5,14,11,3
Santa Catarina,3,2,7,13,14,13,8,10,4,6
Rio Grande do Sul,12,5,7,7,9,5,6,6,3,3
Mato Grosso do Sul,2,1,2,-,-,1,-,-,1,1
Mato Grosso,2,-,1,1,1,1,-,-,-,1
Goiás,13,3,-,7,2,4,-,2,-,1
Distrito Federal,-,2,4,1,2,3,-,-,1,4
