Unidade da Federação,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Rondônia,-,-,1,-,1,-,1,1,-,-
Acre,-,-,1,-,-,-,1,-,-,-
Amazonas,2,11,3,2,2,-,-,-,1,1
Roraima,-,1,-,-,-,1,-,-,-,-
Pará,1,2,5,9,1,3,7,3,3,1
Amapá,-,-,1,2,-,-,1,-,-,1
Tocantins,-,-,-,-,-,-,1,1,1,-
Maranhão,2,2,2,1,-,1,1,-,1,-
Piauí,-,1,1,2,-,-,-,1,1,1
Ceará,3,2,2,-,-,1,-,1,-,-
Rio Grande do Norte,1,1,1,-,-,-,1,-,-,-
Paraíba,-,-,1,-,-,-,-,1,-,-
Pernambuco,6,3,1,2,-,3,5,2,1,3
Alagoas,1,-,1,-,2,-,1,2,4,3
Sergipe,-,-,-,-,-,-,-,-,-,1
Bahia,4,-,2,1,1,1,1,5,5,3
Minas Gerais,5,10,7,4,2,1,-,2,-,1
Espírito Santo,1,1,1,1,1,1,-,-,-,-
Rio de Janeiro,5,14,5,8,4,6,3,3,3,3
São Paulo,16,8,8,16,6,3,1,1,3,-
Paraná,2,2,-,-,1,-,2,-,-,-
Santa Catarina,1,1,-,2,-,-,-,-,2,-
Rio Grande do Sul,2,2,4,3,3,4,9,-,-,-
Mato Grosso do Sul,1,-,2,1,-,-,-,1,-,-
Mato Grosso,1,-,-,2,1,-,-,1,-,1
Goiás,3,7,8,3,2,3,-,1,-,-
Distrito Federal,2,-,-,2,-,-,-,-,-,-
