Unidade da Federação,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Rondônia,-,-,-,-,-,2,1,-,1,-,-,1,-,-
Acre,-,1,1,-,-,1,1,-,-,-,2,1,1,-
Amazonas,1,-,1,6,5,1,2,1,2,5,1,2,5,1
Roraima,-,-,-,-,-,-,-,1,-,-,-,-,-,1
Pará,1,-,4,5,3,1,1,2,2,3,3,7,5,3
Amapá,-,-,-,-,-,2,1,2,-,-,-,-,-,1
Tocantins,-,-,1,1,-,1,-,-,1,-,-,-,-,1
Maranhão,-,-,1,-,1,2,-,2,-,1,-,3,2,-
Piauí,-,-,2,1,-,-,1,1,1,-,-,1,2,-
Ceará,2,1,-,-,1,2,5,2,2,-,4,4,3,-
Rio Grande do Norte,2,1,1,1,4,-,2,-,-,-,-,1,-,-
Paraíba,-,-,-,-,-,-,1,-,-,-,-,-,1,-
Pernambuco,-,1,-,1,2,-,-,1,1,3,2,8,4,1
Alagoas,4,1,1,1,1,-,1,1,-,1,3,1,-,1
Sergipe,-,1,-,-,-,1,-,2,-,-,1,1,-,-
Bahia,3,1,3,6,5,5,5,3,5,5,5,4,11,-
Minas Gerais,2,2,2,4,2,4,4,7,3,5,5,8,3,2
Espírito Santo,1,-,3,2,2,-,2,3,2,-,1,1,-,1
Rio de Janeiro,5,5,5,10,14,9,10,14,8,8,13,15,25,9
São Paulo,2,7,7,9,13,16,19,16,22,23,22,20,12,6
Paraná,-,1,1,-,4,5,3,1,2,1,1,2,2,3
Santa Catarina,-,-,5,3,6,4,7,3,4,3,3,7,5,1
Rio Grande do Sul,4,2,5,5,4,6,7,5,7,5,9,13,12,3
Mato Grosso do Sul,2,1,-,3,-,-,2,2,-,1,2,-,-,-
Mato Grosso,-,1,-,2,-,2,-,1,-,2,1,4,2,2
Goiás,-,-,4,-,-,3,-,-,3,-,2,3,2,1
Distrito Federal,-,-,-,1,2,-,2,-,-,2,-,-,-,-
