,uf,cobertura
3,Roraima,112.97
5,Amapá,112.6
12,Pernambuco,112.19
7,Maranhão,111.96
26,Distrito Federal,110.84
4,Pará,109.28
9,Ceará,109.28
23,Mato Grosso do Sul,108.89
18,Rio de Janeiro,108.32
2,Amazonas,107.68
6,Tocantins,105.89
11,Paraíba,105.56
25,Goiás,105.08
19,São Paulo,104.74
24,Mato Grosso,104.27
0,Rondônia,104.25
1,Acre,104.22
14,Sergipe,103.92
13,Alagoas,103.88
10,Rio Grande do Norte,102.82
20,Paraná,102.39
17,Espírito Santo,102.05
8,Piauí,101.82
15,Bahia,101.04
21,Santa Catarina,100.79
22,Rio Grande do Sul,99.65
16,Minas Gerais,99.04
