,ano,item,cobertura
0,1994,Mato Grosso,31.76
1,1995,Mato Grosso,37.67
2,1996,Mato Grosso,37.44
3,1997,Mato Grosso,74.22
4,1998,Mato Grosso,78.08
5,1999,Mato Grosso,84.87
6,2000,Mato Grosso,84.34
7,2001,Mato Grosso,85.97
8,2002,Mato Grosso,81.93
9,2003,Mato Grosso,77.24
10,2004,Mato Grosso,85.23
11,2005,Mato Grosso,81.56
12,2006,Mato Grosso,79.43
13,2007,Mato Grosso,82.68
14,2008,Mato Grosso,78.13
15,2009,Mato Grosso,79.39
16,2010,Mato Grosso,73.54
17,2011,Mato Grosso,87.4
18,2012,Mato Grosso,81.37
19,2013,Mato Grosso,75.04
20,2014,Mato Grosso,92.61
21,2015,Mato Grosso,100.32
22,2016,Mato Grosso,58.32
23,2017,Mato Grosso,76.56
24,2018,Mato Grosso,80.78
25,2019,Mato Grosso,78.28
26,2020,Mato Grosso,74.42
27,2021,Mato Grosso,55.51
28,1994,Cuiabá,35.5
29,1995,Cuiabá,37.15
30,1996,Cuiabá,41.22
31,1997,Cuiabá,80.03
32,1998,Cuiabá,78.87
33,1999,Cuiabá,85.62
34,2000,Cuiabá,89.26
35,2001,Cuiabá,85.45
36,2002,Cuiabá,82.86
37,2003,Cuiabá,77.46
38,2004,Cuiabá,83.51
39,2005,Cuiabá,81.29
40,2006,Cuiabá,77.71
41,2007,Cuiabá,80.92
42,2008,Cuiabá,78.41
43,2009,Cuiabá,75.36
44,2010,Cuiabá,66.32
45,2011,Cuiabá,83.16
46,2012,Cuiabá,74.4
47,2013,Cuiabá,67.6
48,2014,Cuiabá,84.43
49,2015,Cuiabá,92.74
50,2016,Cuiabá,51.1
51,2017,Cuiabá,79.28
52,2018,Cuiabá,66.0
53,2019,Cuiabá,74.55
54,2020,Cuiabá,68.03
55,2021,Cuiabá,55.34
56,1994,Centro-Oeste,25.84
57,1995,Centro-Oeste,45.1
58,1996,Centro-Oeste,52.54
59,1997,Centro-Oeste,69.92
60,1998,Centro-Oeste,76.53
61,1999,Centro-Oeste,87.47
62,2000,Centro-Oeste,81.77
63,2001,Centro-Oeste,82.9
64,2002,Centro-Oeste,79.67
65,2003,Centro-Oeste,76.82
66,2004,Centro-Oeste,93.13
67,2005,Centro-Oeste,84.49
68,2006,Centro-Oeste,84.59
69,2007,Centro-Oeste,87.43
70,2008,Centro-Oeste,83.31
71,2009,Centro-Oeste,86.15
72,2010,Centro-Oeste,80.04
73,2011,Centro-Oeste,87.0
74,2012,Centro-Oeste,78.55
75,2013,Centro-Oeste,80.09
76,2014,Centro-Oeste,92.76
77,2015,Centro-Oeste,94.42
78,2016,Centro-Oeste,60.87
79,2017,Centro-Oeste,76.14
80,2018,Centro-Oeste,81.87
81,2019,Centro-Oeste,78.18
82,2020,Centro-Oeste,72.55
83,2021,Centro-Oeste,54.96
