,ano,item,cobertura
0,1994,Amazonas,20.15
1,1995,Amazonas,35.82
2,1996,Amazonas,49.88
3,1997,Amazonas,72.01
4,1998,Amazonas,70.62
5,1999,Amazonas,72.19
6,2000,Amazonas,70.91
7,2001,Amazonas,70.68
8,2002,Amazonas,70.98
9,2003,Amazonas,64.77
10,2004,Amazonas,74.57
11,2005,Amazonas,73.67
12,2006,Amazonas,74.81
13,2007,Amazonas,78.84
14,2008,Amazonas,76.4
15,2009,Amazonas,78.63
16,2010,Amazonas,73.3
17,2011,Amazonas,80.09
18,2012,Amazonas,79.18
19,2013,Amazonas,67.06
20,2014,Amazonas,77.14
21,2015,Amazonas,94.95
22,2016,Amazonas,48.27
23,2017,Amazonas,71.14
24,2018,Amazonas,75.22
25,2019,Amazonas,79.8
26,2020,Amazonas,65.04
27,2021,Amazonas,52.57
28,1994,Manaus,18.06
29,1995,Manaus,35.78
30,1996,Manaus,66.16
31,1997,Manaus,92.13
32,1998,Manaus,89.7
33,1999,Manaus,91.26
34,2000,Manaus,86.57
35,2001,Manaus,80.58
36,2002,Manaus,79.41
37,2003,Manaus,71.26
38,2004,Manaus,76.34
39,2005,Manaus,73.82
40,2006,Manaus,78.32
41,2007,Manaus,82.6
42,2008,Manaus,79.59
43,2009,Manaus,80.62
44,2010,Manaus,72.76
45,2011,Manaus,83.35
46,2012,Manaus,83.56
47,2013,Manaus,64.73
48,2014,Manaus,79.66
49,2015,Manaus,98.23
50,2016,Manaus,53.91
51,2017,Manaus,73.28
52,2018,Manaus,73.7
53,2019,Manaus,81.07
54,2020,Manaus,70.82
55,2021,Manaus,61.95
56,1994,Norte,31.03
57,1995,Norte,41.67
58,1996,Norte,55.2
59,1997,Norte,68.57
60,1998,Norte,73.28
61,1999,Norte,81.34
62,2000,Norte,75.81
63,2001,Norte,80.97
64,2002,Norte,78.91
65,2003,Norte,75.09
66,2004,Norte,89.6
67,2005,Norte,82.39
68,2006,Norte,81.57
69,2007,Norte,83.99
70,2008,Norte,80.8
71,2009,Norte,82.21
72,2010,Norte,78.08
73,2011,Norte,83.91
74,2012,Norte,78.21
75,2013,Norte,68.12
76,2014,Norte,76.25
77,2015,Norte,83.05
78,2016,Norte,48.22
79,2017,Norte,66.24
80,2018,Norte,69.14
81,2019,Norte,72.77
82,2020,Norte,60.49
83,2021,Norte,45.75
