,ano,item,cobertura
0,1994,Minas Gerais,0.0
1,1995,Minas Gerais,0.0
2,1996,Minas Gerais,0.0
3,1997,Minas Gerais,62.6
4,1998,Minas Gerais,62.43
5,1999,Minas Gerais,90.14
6,2000,Minas Gerais,79.7
7,2001,Minas Gerais,90.28
8,2002,Minas Gerais,75.07
9,2003,Minas Gerais,69.4
10,2004,Minas Gerais,80.03
11,2005,Minas Gerais,77.68
12,2006,Minas Gerais,76.92
13,2007,Minas Gerais,77.31
14,2008,Minas Gerais,74.74
15,2009,Minas Gerais,78.04
16,2010,Minas Gerais,80.85
17,2011,Minas Gerais,87.4
18,2012,Minas Gerais,82.73
19,2013,Minas Gerais,80.04
20,2014,Minas Gerais,90.21
21,2015,Minas Gerais,100.33
22,2016,Minas Gerais,57.58
23,2017,Minas Gerais,76.28
24,2018,Minas Gerais,84.74
25,2019,Minas Gerais,77.86
26,2020,Minas Gerais,76.91
27,2021,Minas Gerais,57.4
28,1994,Belo Horizonte,0.0
29,1995,Belo Horizonte,0.0
30,1996,Belo Horizonte,0.0
31,1997,Belo Horizonte,51.02
32,1998,Belo Horizonte,39.52
33,1999,Belo Horizonte,94.53
34,2000,Belo Horizonte,81.96
35,2001,Belo Horizonte,79.69
36,2002,Belo Horizonte,68.71
37,2003,Belo Horizonte,65.23
38,2004,Belo Horizonte,74.13
39,2005,Belo Horizonte,71.16
40,2006,Belo Horizonte,69.75
41,2007,Belo Horizonte,72.02
42,2008,Belo Horizonte,70.57
43,2009,Belo Horizonte,71.89
44,2010,Belo Horizonte,72.37
45,2011,Belo Horizonte,71.15
46,2012,Belo Horizonte,84.61
47,2013,Belo Horizonte,75.35
48,2014,Belo Horizonte,54.43
49,2015,Belo Horizonte,91.8
50,2016,Belo Horizonte,52.26
51,2017,Belo Horizonte,79.03
52,2018,Belo Horizonte,82.81
53,2019,Belo Horizonte,76.83
54,2020,Belo Horizonte,84.2
55,2021,Belo Horizonte,49.26
56,1994,Sudeste,55.22
57,1995,Sudeste,46.43
58,1996,Sudeste,44.66
59,1997,Sudeste,70.58
60,1998,Sudeste,74.42
61,1999,Sudeste,91.64
62,2000,Sudeste,76.98
63,2001,Sudeste,79.84
64,2002,Sudeste,74.23
65,2003,Sudeste,71.12
66,2004,Sudeste,77.79
67,2005,Sudeste,74.56
68,2006,Sudeste,73.2
69,2007,Sudeste,72.89
70,2008,Sudeste,71.35
71,2009,Sudeste,73.73
72,2010,Sudeste,72.39
73,2011,Sudeste,85.5
74,2012,Sudeste,77.94
75,2013,Sudeste,73.82
76,2014,Sudeste,87.97
77,2015,Sudeste,98.51
78,2016,Sudeste,49.04
79,2017,Sudeste,74.63
80,2018,Sudeste,79.06
81,2019,Sudeste,72.72
82,2020,Sudeste,67.3
83,2021,Sudeste,51.88
