,ano,item,cobertura
0,1994,Rio Grande do Sul,0.0
1,1995,Rio Grande do Sul,65.25
2,1996,Rio Grande do Sul,58.9
3,1997,Rio Grande do Sul,65.07
4,1998,Rio Grande do Sul,63.25
5,1999,Rio Grande do Sul,85.9
6,2000,Rio Grande do Sul,71.91
7,2001,Rio Grande do Sul,75.6
8,2002,Rio Grande do Sul,74.07
9,2003,Rio Grande do Sul,71.71
10,2004,Rio Grande do Sul,74.42
11,2005,Rio Grande do Sul,70.25
12,2006,Rio Grande do Sul,69.27
13,2007,Rio Grande do Sul,68.75
14,2008,Rio Grande do Sul,67.62
15,2009,Rio Grande do Sul,69.2
16,2010,Rio Grande do Sul,67.22
17,2011,Rio Grande do Sul,81.99
18,2012,Rio Grande do Sul,72.95
19,2013,Rio Grande do Sul,73.47
20,2014,Rio Grande do Sul,84.15
21,2015,Rio Grande do Sul,87.69
22,2016,Rio Grande do Sul,53.86
23,2017,Rio Grande do Sul,73.51
24,2018,Rio Grande do Sul,78.27
25,2019,Rio Grande do Sul,79.46
26,2020,Rio Grande do Sul,76.88
27,2021,Rio Grande do Sul,53.0
28,1994,Porto Alegre,0.0
29,1995,Porto Alegre,70.25
30,1996,Porto Alegre,62.63
31,1997,Porto Alegre,63.89
32,1998,Porto Alegre,69.24
33,1999,Porto Alegre,90.05
34,2000,Porto Alegre,67.21
35,2001,Porto Alegre,71.61
36,2002,Porto Alegre,69.13
37,2003,Porto Alegre,65.98
38,2004,Porto Alegre,69.88
39,2005,Porto Alegre,66.18
40,2006,Porto Alegre,64.86
41,2007,Porto Alegre,62.91
42,2008,Porto Alegre,62.16
43,2009,Porto Alegre,63.1
44,2010,Porto Alegre,58.66
45,2011,Porto Alegre,73.28
46,2012,Porto Alegre,66.7
47,2013,Porto Alegre,60.62
48,2014,Porto Alegre,74.49
49,2015,Porto Alegre,79.4
50,2016,Porto Alegre,37.19
51,2017,Porto Alegre,66.57
52,2018,Porto Alegre,72.36
53,2019,Porto Alegre,72.81
54,2020,Porto Alegre,72.8
55,2021,Porto Alegre,43.81
56,1994,Sul,51.6
57,1995,Sul,51.24
58,1996,Sul,53.84
59,1997,Sul,71.5
60,1998,Sul,65.09
61,1999,Sul,80.95
62,2000,Sul,75.31
63,2001,Sul,78.24
64,2002,Sul,75.44
65,2003,Sul,72.82
66,2004,Sul,78.17
67,2005,Sul,72.41
68,2006,Sul,72.2
69,2007,Sul,72.97
70,2008,Sul,71.0
71,2009,Sul,73.38
72,2010,Sul,71.91
73,2011,Sul,86.62
74,2012,Sul,76.98
75,2013,Sul,75.01
76,2014,Sul,87.04
77,2015,Sul,94.24
78,2016,Sul,55.6
79,2017,Sul,77.43
80,2018,Sul,81.4
81,2019,Sul,81.92
82,2020,Sul,78.15
83,2021,Sul,55.8
