,uf,cobertura
19,São Paulo,75.46
16,Minas Gerais,74.06
21,Santa Catarina,73.81
23,Mato Grosso do Sul,72.72
20,Paraná,67.96
25,Goiás,67.06
24,Mato Grosso,64.81
18,Rio de Janeiro,64.61
0,Rondônia,64.51
3,Roraima,64.39
9,Ceará,64.13
17,Espírito Santo,63.51
22,Rio Grande do Sul,63.16
5,Amapá,61.16
14,Sergipe,59.49
2,Amazonas,59.27
6,Tocantins,59.07
26,Distrito Federal,58.44
15,Bahia,58.34
10,Rio Grande do Norte,57.28
12,Pernambuco,56.81
8,Piauí,55.89
11,Paraíba,55.55
1,Acre,53.81
13,Alagoas,52.38
7,Maranhão,50.69
4,Pará,49.35
