Unidade da Federação,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,1995,1996,1997,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Rondônia,0,0,1,0,1,0,1,1,0,0,2,3,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0
Acre,0,0,1,0,0,0,1,0,0,0,2,7,7,0,1,1,0,0,1,1,0,0,0,2,1,1,0
Amazonas,2,11,3,2,2,0,0,0,1,1,25,26,27,1,0,1,6,5,1,2,1,2,5,1,2,5,1
Roraima,0,1,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Pará,1,2,5,9,1,3,7,3,3,1,51,36,42,1,0,4,5,3,1,1,2,2,3,3,7,5,3
Tocantins,0,0,0,0,0,0,1,1,1,0,6,5,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
Maranhão,2,2,2,1,0,1,1,0,1,0,48,39,30,0,0,1,0,1,2,0,2,0,1,0,3,2,0
Piauí,0,1,1,2,0,0,0,1,1,1,5,9,7,0,0,2,1,0,0,1,1,1,0,0,1,2,0
Ceará,3,2,2,0,0,1,0,1,0,0,22,39,22,2,1,0,0,1,2,5,2,2,0,4,4,3,0
Rio Grande do Norte,1,1,1,0,0,0,1,0,0,0,21,21,27,2,1,1,1,4,0,2,0,0,0,0,1,0,0
Paraíba,0,0,1,0,0,0,0,1,0,0,26,15,23,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Pernambuco,6,3,1,2,0,3,5,2,1,3,40,188,116,0,1,0,1,2,0,0,1,1,3,2,8,4,1
Alagoas,1,0,1,0,2,0,1,2,4,3,9,15,9,4,1,1,1,1,0,1,1,0,1,3,1,0,1
Sergipe,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0
Bahia,4,0,2,1,1,1,1,5,5,3,101,92,136,3,1,3,6,5,5,5,3,5,5,5,4,11,0
Minas Gerais,5,10,7,4,2,1,0,2,0,1,89,78,76,2,2,2,4,2,4,4,7,3,5,5,8,3,2
Espírito Santo,1,1,1,1,1,1,0,0,0,0,23,18,25,1,0,3,2,2,0,2,3,2,0,1,1,0,1
Rio de Janeiro,5,14,5,8,4,6,3,3,3,3,256,363,366,5,5,5,10,14,9,10,14,8,8,13,15,25,9
São Paulo,16,8,8,16,6,3,1,1,3,0,376,495,485,2,7,7,9,13,16,19,16,22,23,22,20,12,6
Paraná,2,2,0,0,1,0,2,0,0,0,39,57,51,0,1,1,0,4,5,3,1,2,1,1,2,2,3
Santa Catarina,1,1,0,2,0,0,0,0,2,0,5,10,13,0,0,5,3,6,4,7,3,4,3,3,7,5,1
Rio Grande do Sul,2,2,4,3,3,4,9,0,0,0,45,49,66,4,2,5,5,4,6,7,5,7,5,9,13,12,3
Mato Grosso do Sul,1,0,2,1,0,0,0,1,0,0,8,6,8,2,1,0,3,0,0,2,2,0,1,2,0,0,0
Mato Grosso,1,0,0,2,1,0,0,1,0,1,3,1,4,0,1,0,2,0,2,0,1,0,2,1,4,2,2
Goiás,3,7,8,3,2,3,0,1,0,0,32,16,26,0,0,4,0,0,3,0,0,3,0,2,3,2,1
Distrito Federal,2,0,0,2,0,0,0,0,0,0,3,7,7,0,0,0,1,2,0,2,0,0,2,0,0,0,0
