,uf,ano,obitos
114,São Paulo,2017,23
120,São Paulo,2018,22
108,São Paulo,2016,22
126,São Paulo,2019,20
96,São Paulo,2014,19
0,São Paulo,1998,16
90,São Paulo,2013,16
102,São Paulo,2015,16
18,São Paulo,2001,16
84,São Paulo,2012,13
132,São Paulo,2020,12
23,Pará,2001,9
78,São Paulo,2011,9
6,São Paulo,1999,8
12,São Paulo,2000,8
13,Goiás,2000,8
131,Pará,2019,7
66,São Paulo,2009,7
41,Pará,2004,7
72,São Paulo,2010,7
7,Goiás,1999,7
24,São Paulo,2002,6
138,São Paulo,2021,6
17,Pará,2000,5
83,Pará,2011,5
137,Pará,2020,5
73,Goiás,2010,4
77,Pará,2010,4
143,Pará,2021,3
53,Pará,2006,3
48,São Paulo,2006,3
47,Pará,2005,3
125,Pará,2018,3
119,Pará,2017,3
1,Goiás,1998,3
35,Pará,2003,3
109,Goiás,2016,3
31,Goiás,2003,3
30,São Paulo,2003,3
89,Pará,2012,3
91,Goiás,2013,3
19,Goiás,2001,3
127,Goiás,2019,3
113,Pará,2016,2
107,Pará,2015,2
11,Pará,1999,2
121,Goiás,2018,2
60,São Paulo,2008,2
92,Rondônia,2013,2
105,Sergipe,2015,2
124,Acre,2018,2
133,Goiás,2020,2
25,Goiás,2002,2
130,Acre,2019,1
139,Goiás,2021,1
129,Sergipe,2019,1
38,Rondônia,2004,1
136,Acre,2020,1
36,São Paulo,2004,1
14,Rondônia,2000,1
110,Rondônia,2016,1
26,Rondônia,2002,1
29,Pará,2002,1
42,São Paulo,2005,1
93,Sergipe,2013,1
94,Acre,2013,1
95,Pará,2013,1
98,Rondônia,2014,1
100,Acre,2014,1
40,Acre,2004,1
76,Acre,2010,1
123,Sergipe,2018,1
16,Acre,2000,1
128,Rondônia,2019,1
57,Sergipe,2007,1
59,Pará,2007,1
70,Acre,2009,1
44,Rondônia,2005,1
65,Pará,2008,1
101,Pará,2014,1
5,Pará,1998,1
69,Sergipe,2009,1
43,Goiás,2005,1
116,Rondônia,2017,0
3,Sergipe,1998,0
104,Rondônia,2015,0
142,Acre,2021,0
106,Acre,2015,0
2,Rondônia,1998,0
4,Acre,1998,0
117,Sergipe,2017,0
134,Rondônia,2020,0
112,Acre,2016,0
141,Sergipe,2021,0
140,Rondônia,2021,0
103,Goiás,2015,0
8,Rondônia,1999,0
122,Rondônia,2018,0
135,Sergipe,2020,0
115,Goiás,2017,0
111,Sergipe,2016,0
118,Acre,2017,0
20,Rondônia,2001,0
9,Sergipe,1999,0
61,Goiás,2008,0
56,Rondônia,2007,0
55,Goiás,2007,0
54,São Paulo,2007,0
52,Acre,2006,0
51,Sergipe,2006,0
50,Rondônia,2006,0
49,Goiás,2006,0
46,Acre,2005,0
45,Sergipe,2005,0
39,Sergipe,2004,0
37,Goiás,2004,0
34,Acre,2003,0
33,Sergipe,2003,0
32,Rondônia,2003,0
28,Acre,2002,0
27,Sergipe,2002,0
22,Acre,2001,0
58,Acre,2007,0
62,Rondônia,2008,0
99,Sergipe,2014,0
63,Sergipe,2008,0
97,Goiás,2014,0
10,Acre,1999,0
88,Acre,2012,0
87,Sergipe,2012,0
86,Rondônia,2012,0
85,Goiás,2012,0
21,Sergipe,2001,0
81,Sergipe,2011,0
80,Rondônia,2011,0
79,Goiás,2011,0
15,Sergipe,2000,0
75,Sergipe,2010,0
74,Rondônia,2010,0
71,Pará,2009,0
68,Rondônia,2009,0
67,Goiás,2009,0
64,Acre,2008,0
82,Acre,2011,0
