,uf,ano,obitos
134,Rio de Janeiro,2020,25
128,Rio de Janeiro,2019,15
8,Rio de Janeiro,1999,14
86,Rio de Janeiro,2012,14
104,Rio de Janeiro,2015,14
122,Rio de Janeiro,2018,13
136,Bahia,2020,11
98,Rio de Janeiro,2014,10
11,Minas Gerais,1999,10
80,Rio de Janeiro,2011,10
140,Rio de Janeiro,2021,9
92,Rio de Janeiro,2013,9
19,Pará,2001,9
110,Rio de Janeiro,2016,8
131,Minas Gerais,2019,8
116,Rio de Janeiro,2017,8
20,Rio de Janeiro,2001,8
37,Pará,2004,7
107,Minas Gerais,2015,7
127,Pará,2019,7
17,Minas Gerais,2000,7
82,Bahia,2011,6
32,Rio de Janeiro,2003,6
94,Bahia,2013,5
62,Rio de Janeiro,2008,5
52,Bahia,2006,5
125,Minas Gerais,2018,5
88,Bahia,2012,5
46,Bahia,2005,5
119,Minas Gerais,2017,5
133,Pará,2020,5
124,Bahia,2018,5
68,Rio de Janeiro,2009,5
79,Pará,2011,5
74,Rio de Janeiro,2010,5
13,Pará,2000,5
2,Rio de Janeiro,1998,5
112,Bahia,2016,5
118,Bahia,2017,5
100,Bahia,2014,5
5,Minas Gerais,1998,5
14,Rio de Janeiro,2000,5
95,Minas Gerais,2013,4
129,Mato Grosso,2019,4
23,Minas Gerais,2001,4
130,Bahia,2019,4
83,Minas Gerais,2011,4
26,Rio de Janeiro,2002,4
101,Minas Gerais,2014,4
4,Bahia,1998,4
73,Pará,2010,4
85,Pará,2012,3
64,Bahia,2008,3
115,Pará,2017,3
139,Pará,2021,3
121,Pará,2018,3
58,Bahia,2007,3
106,Bahia,2015,3
56,Rio de Janeiro,2007,3
44,Rio de Janeiro,2005,3
76,Bahia,2010,3
38,Rio de Janeiro,2004,3
31,Pará,2003,3
43,Pará,2005,3
113,Minas Gerais,2016,3
137,Minas Gerais,2020,3
49,Pará,2006,3
50,Rio de Janeiro,2006,3
81,Mato Grosso,2011,2
93,Mato Grosso,2013,2
89,Minas Gerais,2012,2
117,Mato Grosso,2017,2
77,Minas Gerais,2010,2
103,Pará,2015,2
109,Pará,2016,2
143,Minas Gerais,2021,2
29,Minas Gerais,2002,2
71,Minas Gerais,2009,2
135,Mato Grosso,2020,2
65,Minas Gerais,2008,2
7,Pará,1999,2
141,Mato Grosso,2021,2
16,Bahia,2000,2
21,Mato Grosso,2001,2
47,Minas Gerais,2005,2
102,Roraima,2015,1
28,Bahia,2002,1
27,Mato Grosso,2002,1
25,Pará,2002,1
123,Mato Grosso,2018,1
22,Bahia,2001,1
97,Pará,2014,1
138,Roraima,2021,1
6,Roraima,1999,1
3,Mato Grosso,1998,1
105,Mato Grosso,2015,1
34,Bahia,2003,1
30,Roraima,2003,1
1,Pará,1998,1
70,Bahia,2009,1
69,Mato Grosso,2009,1
61,Pará,2008,1
59,Minas Gerais,2007,1
55,Pará,2007,1
45,Mato Grosso,2005,1
91,Pará,2013,1
40,Bahia,2004,1
35,Minas Gerais,2003,1
57,Mato Grosso,2007,1
120,Roraima,2018,0
114,Roraima,2017,0
132,Roraima,2020,0
142,Bahia,2021,0
126,Roraima,2019,0
0,Roraima,1998,0
111,Mato Grosso,2016,0
51,Mato Grosso,2006,0
9,Mato Grosso,1999,0
10,Bahia,1999,0
12,Roraima,2000,0
15,Mato Grosso,2000,0
18,Roraima,2001,0
24,Roraima,2002,0
33,Mato Grosso,2003,0
36,Roraima,2004,0
39,Mato Grosso,2004,0
41,Minas Gerais,2004,0
42,Roraima,2005,0
48,Roraima,2006,0
53,Minas Gerais,2006,0
108,Roraima,2016,0
54,Roraima,2007,0
60,Roraima,2008,0
63,Mato Grosso,2008,0
66,Roraima,2009,0
67,Pará,2009,0
75,Mato Grosso,2010,0
78,Roraima,2011,0
84,Roraima,2012,0
87,Mato Grosso,2012,0
90,Roraima,2013,0
96,Roraima,2014,0
99,Mato Grosso,2014,0
72,Roraima,2010,0
