,uf,cobertura
0,Rondônia,77.56
23,Mato Grosso do Sul,77.41
12,Pernambuco,76.94
17,Espírito Santo,76.08
24,Mato Grosso,75.35
9,Ceará,74.6
6,Tocantins,74.48
14,Sergipe,74.1
21,Santa Catarina,73.4
25,Goiás,72.67
20,Paraná,72.61
7,Maranhão,72.37
16,Minas Gerais,72.36
4,Pará,71.96
11,Paraíba,71.96
19,São Paulo,71.87
15,Bahia,71.42
10,Rio Grande do Norte,70.79
13,Alagoas,70.69
26,Distrito Federal,70.22
5,Amapá,69.41
1,Acre,69.33
8,Piauí,68.87
18,Rio de Janeiro,68.84
3,Roraima,68.77
22,Rio Grande do Sul,68.16
2,Amazonas,65.7
